variant,update,seed_count,reward_mean,reward_seed_sd
last_token_attention,1,3,0.01675989768279194,0.0006618746459622418
last_token_attention,9,3,0.0037000755670210032,0.00021706361323104464
last_token_attention,17,3,0.0027130026311659263,0.0003122862933628164
last_token_attention,25,3,0.0023166162314514735,0.00034352293483895947
last_token_attention,33,3,0.001662940155196155,0.00037890716149493293
last_token_attention,41,3,0.001858735718831553,0.00043878616579284835
last_token_attention,49,3,0.0022733021151327085,0.0005206979986179318
last_token_attention,57,3,0.0029667673229771055,0.0004262414667793525
last_token_attention,65,3,0.004188465174404308,0.0003237373531394295
last_token_attention,73,3,0.004815155002494451,0.0005233819077165099
last_token_attention,81,3,0.004988502259826755,0.00044689111288548534
last_token_attention,89,3,0.004839750894629292,0.0004724293409950407
last_token_attention,97,3,0.00512245050766703,0.000802370523610423
last_token_attention,105,3,0.0055337291212965364,0.0011852911497882426
last_token_attention,113,3,0.005701829636438729,0.0013402585701011269
last_token_attention,121,3,0.0058229118528206,0.0014141586923546155
last_token_attention,129,3,0.0064172503625105105,0.0014509698849189154
last_token_attention,137,3,0.0069077301350260025,0.0019494782293254314
last_token_attention,145,3,0.007564263928400566,0.0029136329702631253
last_token_attention,153,3,0.00782489064623091,0.0036464427599505102
last_token_attention,161,3,0.008404006431772136,0.004289633340180334
last_token_attention,169,3,0.009000550188690165,0.004372176385608182
last_token_attention,177,3,0.0095226058818901,0.004245769940560147
last_token_attention,185,3,0.00983604106614277,0.003911483915960943
last_token_attention,193,3,0.010326760243156595,0.003916793679983769
last_token_attention,201,3,0.010863940552627134,0.004100753325791336
last_token_attention,209,3,0.01132228101377603,0.004327567611396406
last_token_attention,217,3,0.011369361988146302,0.004614239672307891
last_token_attention,225,3,0.011277175588258885,0.004822258629883635
last_token_attention,233,3,0.011040267841162058,0.005101648978315275
last_token_attention,241,3,0.011033693955102543,0.005096744189700039
last_token_attention,249,3,0.010995167805279114,0.0051365144795653545
last_token_attention,257,3,0.01126666285069672,0.005302434224580779
last_token_attention,265,3,0.011492305713111403,0.005550500731813676
last_token_attention,273,3,0.011668434938256951,0.005801384567424557
last_token_attention,281,3,0.011736542409536754,0.006069174019086782
